Location	MC.Top	Location	MC.Left	Location	MC.Bottom	Location	MC.Right	Location	TL.Top	Location	TL.Left	Location	TL.Bottom	Location	TL.Right	Location	TR.Top	Location	TR.Left	Location	TR.Bottom	Location	TR.Right	Location	BR.Top	Location	BR.Left	Location	BR.Bottom	Location	BR.Right	Location	BL.Top	Location	BL.Left	Location	BL.Bottom	Location	BL.Right
ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	3442:585:3482:625	ROI	3420:618:3460:658	ROI	3458:643:3498:683	ROI	3480:609:3520:649	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0	ROI	0:0:0:0
																Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF	Spatial Frequency [lp/mm]	MTF																
																0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000																
																12.285714	0.809500	12.000000	0.847300	12.333333	0.808700	11.952381	0.854700																
																24.571429	0.412900	24.000000	0.485700	24.619048	0.417900	23.904762	0.506200																
																36.857143	0.165800	36.047619	0.120400	36.952381	0.173500	35.857143	0.134200																
																49.142857	0.116400	48.047619	0.166800	49.285714	0.119700	47.857143	0.160500																
																61.428571	0.043500	60.047619	0.215500	61.619048	0.049000	59.809524	0.223900																
																73.714286	0.063600	72.047619	0.130400	73.904762	0.074600	71.761905	0.154700																
																86.000000	0.072400	84.095238	0.071600	86.238095	0.068900	83.714286	0.077100																
																98.333333	0.049400	96.095238	0.091600	98.571429	0.042600	95.666667	0.080400																
																110.619048	0.039100	108.095238	0.079000	110.857143	0.038400	107.619048	0.088300																
																122.904762	0.029800	120.095238	0.058800	123.190476	0.033300	119.619048	0.070100																
																135.190476	0.025600	132.142857	0.062900	135.523810	0.029800	131.571429	0.043700																
																147.476190	0.012500	144.142857	0.072200	147.857143	0.028900	143.523810	0.036600																
																159.761905	0.008500	156.142857	0.048700	160.142857	0.018800	155.476190	0.038900																
																172.047619	0.007900	168.142857	0.019800	172.476190	0.010900	167.428571	0.036300																
																184.333333	0.018900	180.142857	0.013800	184.809524	0.006800	179.380952	0.024400																
																196.619048	0.024800	192.190476	0.025000	197.142857	0.009700	191.380952	0.027200																
																208.904762	0.036800	204.190476	0.021000	209.428571	0.022400	203.333333	0.016500																
																221.190476	0.043100	216.190476	0.014400	221.761905	0.019600	215.285714	0.005400																
																233.476190	0.028600	228.190476	0.008000	234.095238	0.012500	227.238095	0.010000																
																245.761905	0.005500	240.238095	0.014800	246.380952	0.010200	239.190476	0.009000																
																258.047619	0.002200	252.238095	0.018200	258.714286	0.018800	251.142857	0.019900																
																270.333333	0.016000	264.238095	0.012500	271.047619	0.012200	263.095238	0.002100																
																282.666667	0.031200	276.238095	0.024400	283.380952	0.008700	275.095238	0.021000																
																294.952381	0.038600	288.238095	0.018900	295.666667	0.017200	287.047619	0.030400																
																307.238095	0.034400	300.285714	0.020300	308.000000	0.011700	299.000000	0.016300																
																319.523810	0.032200	312.285714	0.026600	320.333333	0.021600	310.952381	0.011800																
																331.809524	0.031600	324.285714	0.030500	332.619048	0.039900	322.904762	0.025600																
																344.095238	0.022300	336.285714	0.050000	344.952381	0.035000	334.857143	0.013800																
																356.380952	0.011400	348.333333	0.033900	357.285714	0.002000	346.857143	0.022200																
																368.666667	0.027100	360.333333	0.017700	369.619048	0.005900	358.809524	0.043100																
																380.952381	0.055400	372.333333	0.030300	381.904762	0.015400	370.761905	0.081400																
																393.238095	0.045800	384.333333	0.066500	394.238095	0.038900	382.714286	0.063000																
																405.523810	0.024300	396.380952	0.072000	406.571429	0.033900	394.666667	0.005600																
																417.809524	0.014300	408.380952	0.044800	418.857143	0.032900	406.619048	0.078100																
																430.095238	0.016900	420.380952	0.018700	431.190476	0.052200	418.571429	0.109800																
																442.380952	0.018700	432.380952	0.032100	443.523810	0.038000	430.571429	0.075200																
																454.666667	0.022700	444.380952	0.031100	455.857143	0.005100	442.523810	0.036600																
																467.000000	0.030100	456.428571	0.026600	468.142857	0.030600	454.476190	0.085600																
																479.285714	0.060900	468.428571	0.073200	480.476190	0.135400	466.428571	0.270000																
																491.571429	0.083400	480.428571	0.109200	492.809524	0.148700	478.380952	0.449900																
